符合條件商品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料日期：2026年  6月 24日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
策略,"	.常用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45	",1319.TW,東陽,79.5,0.13,13279,6.6,470,59.15,13.2,1.05,5,18,28,0,0,0,0,0,0,0.9,-2.51,-8,3,-17,-11.3,7.4,-3.9,0,0.29,上市汽車,汽機車零組件,"汽車保險桿,汽機車零組件,汽車鈑金,車用冷卻系統",全球第一大汽車AM塑膠件製造商,
"46	",1321.TW,大洋,31.05,1.64,159,1.44,69,22.72,0.11,-0.35,7,0,0,0,0,0,0,0,0,0.18,-0.34,3,13,-1,0,-0.1,-0.1,0,0.09,上市塑膠,PVC,"PVC,塑膠皮布,塑膠加工,塑化原料,塑化製品,資產股",台灣第三大PVC廠，並有資產開發題材,
"47	",1323.TW,永裕,19.9,0.25,169,2.25,18,9.13,0.02,0.14,12,25,48,0,0,0,0,0,0,0,0.49,-3,4,2,0,0,0,0,0.08,上市塑膠,塑膠加工,"塑膠加工,塑化製品",台灣知名的塑膠瓶及軟管製造商,
"48	",1324.TW,地球,10.35,0,42,1.44,8,7.51,0.01,-0.45,5,0,0,0,0,0,0,0,0,0,-0.04,9,4,-10,0,0,0,0,0.06,上市塑膠,膠帶,"膠帶,化學工業",台灣主要PVC膠帶供應商,
"49	",1325.TW,恆大,25.6,-0.58,208,2.15,22,8.53,0.08,-0.32,2,0,0,0,0,0,0,0,0,0.21,-0.18,-18,-31,-27,0,-0.1,-0.1,0,0.09,上市塑膠,不織布,"不織布,工業紡織品",台灣最大的紡結不織布生產廠,
"50	",1326.TW,台化,57.7,9.9,66811,11.03,3112,586.12,29.21,0.21,14,32,44,0,1,1,0,0,0,0.61,-2.84,-15,15,11,0.9,-0.6,0.3,0.36,0.31,上市塑膠,PTA,"二甲基甲醯胺(DMF),酚,化學工業,其他化工產品,芳香烴,SM,ABS,PS,PP,塑化原料,化學纖維,尼龍粒,尼龍加工絲,尼龍絲,化纖原料,PTA,粘膠",台灣最大的PTA廠,
"51	",1336.TW,台翰,15.5,0,68,3.47,12,7.76,0.03,-0.19,4,0,0,0,1,0,0,0,0,0.52,0.85,4,0,-8,0,0,0,0.27,0.17,上櫃電子零組件,塑膠射出,"電子零件元件,塑膠射出",宣德轉投資之消費電子產品外殼製造商,
"52	",1337.TW,再生-KY,4.92,-0.81,614,2.57,13,26.9,0.02,-0.43,6,0,0,0,0,0,0,0,0,0.12,-0.15,8,-10,-18,0,0,0,0,0.11,上市塑膠,塑膠加工,"塑膠加工,塑化原料,塑化製品,EVA",大陸第一大EVA發泡材商,
"53	",1338.TW,廣華-KY,16.8,0.3,40,2.62,14,8.38,0.05,-0.42,3,0,0,1,1,0,0,0,0,0.11,-0.11,-7,6,-1,0,0,0,0.2,0.1,上市汽車,汽車內裝,汽車內裝,汽車OEM塑膠內飾件大廠，供應以大陸市場為主,
"54	",1339.TW,昭輝,44.3,1.14,152,1.38,32,7.41,0.05,-0.2,10,0,0,0,1,0,0,0,0,-0.01,-0.05,4,15,-13,0,0,0,0.2,0.1,上市汽車,汽車保險桿,"塑膠加工,塑化製品,汽車保險桿,汽機車零組件",台灣第二大汽車AM塑膠件製造商,
"55	",1340.TW,勝悅-KY,5.48,0.18,116,3.71,8,15.29,0.01,-0.36,9,0,0,0,0,0,0,0,0,0.01,-0.13,29,-71,-79,0,0,0,0,0.13,上市塑膠,鞋材,"地產,物業投資發展,旅宿／餐飲,飯店",專注旅館及第三方物流承租收入事業,
"56	",1341.TW,富林-KY,58.2,-1.36,13,1.73,31,5.29,0.02,1.62,9,9,100,0,1,0,0,0,0,0,0.03,-25,15,5,0,0,0,0.09,0.04,上市塑膠,塑膠皮布,"塑膠皮布,塑化製品",越南第一大PVC人造皮革生產商,
"57	",1342.TW,八貫,115,-1.71,407,3.42,91,7.8,0.92,2.29,7,16,44,0,1,0,0,1,2.86,1,-2.86,-3,37,27,0,0.7,0.7,0.47,0.17,上市其他,塑膠皮布,"塑膠皮布,塑化製品",台灣機能性皮布料及薄膜製造商,
"58	",1402.TW,遠東新,28.45,-0.7,23736,1.91,1534,535.29,7.06,0.64,6,11,55,0,1,0,0,0,0,0.52,-2.08,2,19,4,9.3,-6,3.3,0.26,0.1,上市紡織纖維,聚酯粒,"家居用品,寢具,化學纖維,聚酯絲,聚酯加工絲,聚酯棉,聚酯粒,化纖原料,PTA,成衣,成衣製造,成衣銷售/零售,織布業,棉紡業,紡紗,控股公司,資產股",全球前五大聚酯製造商，集團轉投資橫跨領域廣,
"59	",1409.TW,新纖,27.95,-2.1,46007,6.04,462,161.84,20.79,0.89,10,12,83,0,1,0,0,0,0,-0.28,-0.29,7,35,9,0,-4.2,-4.2,0.97,0.3,上市紡織纖維,聚酯粒,"塑膠加工,塑化製品,化學纖維,聚酯絲,聚酯粒,資產股",新光集團旗下，台灣知名化纖廠,
"60	",1410.TW,南染,24.6,-0.2,36,2.02,15,6.2,0.02,-0.3,8,0,0,0,0,0,0,0,0,0.12,0.15,-11,37,9,0,0,0,0,0.12,上市紡織纖維,物業投資發展,"IC封裝測試,地產,物業投資發展",轉型為不動產租賃業務,
"61	",1413.TW,宏洲,9.38,0.32,35,5.65,10,13.21,0,-0.25,7,0,0,0,0,0,1,0,0,0.03,-0.14,-20,-16,-19,0,0,0,0,0.08,上市紡織纖維,聚酯絲,"化學纖維,聚酯絲,聚酯粒",宜進入主，聚酯粒、聚酯絲與加工絲一貫廠,
"62	",1414.TW,東和,17.2,-1.43,189,2.28,35,19.8,0.03,-0.04,6,0,0,0,1,0,0,0,0,0.01,0.03,-1,11,-7,0,0,0,0.3,0.11,上市紡織纖維,混紡紗,"混紡紗,紡紗,資產股,地產,物業投資發展",棉混紡紗大廠,
