符合條件商品
資料日期：2026年  6月 18日
策略,	.常用
"序號","代碼","商品","成交","漲幅%","總量","振幅","市值(億)","股本(億)","成交值(億)","推估獲利","蘭質","LPE","蘭值","有CB","W55","55高","55低","集保","評比值","大戶增比","人數降比","月增","年增","累增","投三","外三","TOTAL","55漲%","21跌%","產業","細產業","所有細產業",產業地位
44	,"1316.TW","上曜","10.95","-1.35","2550","2.3","41","40.16","0.18","-0.42","6","54","11","1","0","0","0","0","0","-1.03","0.77","5","153","139","0","-0","0","0","0","上市建材營造","營建","PU樹脂,化學工業,食品加工,保健食品,營建,地產",上曜集團旗下豪宅品牌
45	,"1319.TW","東陽","99.2","-3.22","10060","3.3","606","59.15","3.91","1.05","5","24","21","0","1","0","0","1","5.4","1.62","-8.74","-8","3","-17","-0.8","-1.1","-1.9","0.47","0","上市汽車","汽機車零組件","汽車保險桿,汽機車零組件,汽車鈑金,車用冷卻系統",全球第一大汽車AM塑膠件製造商
46	,"1321.TW","大洋","32.15","1.26","446","1.9","72","22.72","0.1","-0.35","7","0","0","0","1","0","0","0","0","-0.15","-0.58","3","13","-1","0","0","0","0.15","0","上市塑膠","PVC","PVC,塑膠皮布,塑膠加工,塑化原料,塑化製品,資產股",台灣第三大PVC廠，並有資產開發題材
47	,"1323.TW","永裕","19.8","0","102","1.27","18","9.13","0.01","0.14","12","25","48","0","0","0","0","0","0","0.03","1.19","-3","4","2","0","-0","0","0","0.08","上市塑膠","塑膠加工","塑膠加工,塑化製品",台灣知名的塑膠瓶及軟管製造商
48	,"1324.TW","地球","10.4","-0.95","212","1.42","8","7.51","0.02","-0.45","5","0","0","0","0","0","0","0","0","0","-0.14","9","4","-10","0","0","0","0","0","上市塑膠","膠帶","膠帶,化學工業",台灣主要PVC膠帶供應商
49	,"1325.TW","恆大","26.1","-0.38","245","1.54","22","8.53","0.04","-0.32","2","0","0","0","0","0","0","0","0","-0.29","-0.11","-18","-31","-27","0","0","0","0","0.1","上市塑膠","不織布","不織布,工業紡織品",台灣最大的紡結不織布生產廠
50	,"1326.TW","台化","54.2","0.93","31264","7.87","3147","586.12","17.98","0.21","14","33","42","0","1","0","0","0","0","-0.58","1.95","-15","15","11","0","17.3","17.3","0.35","0","上市塑膠","PTA","二甲基甲醯胺(DMF),酚,化學工業,其他化工產品,芳香烴,SM,ABS,PS,PP,塑化原料,化學纖維,尼龍粒,尼龍加工絲,尼龍絲,化纖原料,PTA,粘膠",台灣最大的PTA廠
51	,"1336.TW","台翰","15","0","114","1.99","12","7.76","0.03","-0.19","4","0","0","0","1","0","0","0","0","0.02","1.65","4","0","-8","0","-0","0","0.26","0","上櫃電子零組件","塑膠射出","電子零件元件,塑膠射出",宣德轉投資之消費電子產品外殼製造商
52	,"1337.TW","再生-KY","5.07","2.84","816","2.03","13","26.9","0.02","-0.43","6","0","0","0","0","0","0","0","0","0.02","-0.11","8","-10","-18","0","-0","0","0","0","上市塑膠","塑膠加工","塑膠加工,塑化原料,塑化製品,EVA",大陸第一大EVA發泡材商
53	,"1338.TW","廣華-KY","17.2","0","87","1.16","14","8.38","0.01","-0.42","3","0","0","1","1","0","0","0","0","0.19","0.06","-7","6","-1","0","0","0","0.28","0","上市汽車","汽車內裝","汽車內裝",汽車OEM塑膠內飾件大廠，供應以大陸市場為主
54	,"1339.TW","昭輝","43.95","1.15","249","3.8","32","7.41","0.23","-0.2","10","0","0","0","0","0","0","0","0","0","-0.19","4","15","-13","0","0.1","0.1","0","0","上市汽車","汽車保險桿","塑膠加工,塑化製品,汽車保險桿,汽機車零組件",台灣第二大汽車AM塑膠件製造商
55	,"1340.TW","勝悅-KY","5.72","-1.04","198","1.22","9","15.29","0.01","-0.36","9","0","0","0","0","0","0","0","0","-0.49","-0.1","29","-71","-79","0","0","0","0","0","上市塑膠","鞋材","地產,物業投資發展,旅宿／餐飲,飯店",專注旅館及第三方物流承租收入事業
56	,"1341.TW","富林-KY","62","-0.32","21","0.96","33","5.29","0","1.62","9","10","90","0","1","0","0","0","0","0","-0.16","-25","15","5","0","0","0","0.1","0","上市塑膠","塑膠皮布","塑膠皮布,塑化製品",越南第一大PVC人造皮革生產商
57	,"1342.TW","八貫","116","-0.43","1235","2.58","91","7.8","0.91","2.29","7","16","44","0","1","0","0","0","0","0.78","2.36","-3","37","27","0","0.1","0.1","0.47","0","上市其他","塑膠皮布","塑膠皮布,塑化製品",台灣機能性皮布料及薄膜製造商
58	,"1402.TW","遠東新","28.85","0.17","36194","3.15","1542","535.29","8.96","0.64","6","11","55","0","1","1","0","0","0","0.56","-1.72","2","19","4","6.2","5.6","11.8","0.25","0","上市紡織纖維","聚酯粒","家居用品,寢具,化學纖維,聚酯絲,聚酯加工絲,聚酯棉,聚酯粒,化纖原料,PTA,成衣,成衣製造,成衣銷售/零售,織布業,棉紡業,紡紗,控股公司,資產股",全球前五大聚酯製造商，集團轉投資橫跨領域廣
59	,"1409.TW","新纖","25.6","-8.41","40190","4.46","452","161.84","5.03","0.89","10","12","83","0","1","0","0","0","0","-0.08","0.75","7","35","9","-0","-0.9","-0.9","0.97","0","上市紡織纖維","聚酯粒","塑膠加工,塑化製品,化學纖維,聚酯絲,聚酯粒,資產股",新光集團旗下，台灣知名化纖廠
60	,"1410.TW","南染","24.85","0.4","36","3.05","15","6.2","0.02","-0.3","8","0","0","0","0","0","0","0","0","0.2","-0.21","-11","37","9","0","-0","0","0","0.15","上市紡織纖維","物業投資發展","IC封裝測試,地產,物業投資發展",轉型為不動產租賃業務
61	,"1413.TW","宏洲","9.44","0.43","33","0.74","10","13.21","0.01","-0.25","7","0","0","0","0","0","0","0","0","0","-0.07","-20","-16","-19","0","0","0","0","0","上市紡織纖維","聚酯絲","化學纖維,聚酯絲,聚酯粒",宜進入主，聚酯粒、聚酯絲與加工絲一貫廠
62	,"1414.TW","東和","17.5","0.57","100","1.45","34","19.8","0.03","-0.04","6","0","0","0","1","0","0","0","0","0.07","0.03","-1","11","-7","0","0","0","0.3","0","上市紡織纖維","混紡紗","混紡紗,紡紗,資產股,地產,物業投資發展",棉混紡紗大廠
63	,"1416.TW","廣豐","11.1","-0.45","421","0.9","21","18.53","0.03","-0.05","9","0","0","0","1","0","0","0","0","-0.61","-0.02","21","61","35","0","-0","0","0.1","0.05","上市其他","應用軟體","資產股,軟體業,應用軟體",專注金融業應用系統開發
64	,"1417.TW","嘉裕","8.52","-0.23","250","1.05","16","18.99","0.02","-0.23","9","0","0","0","0","0","0","0","0","-0.3","-0.02","-3","-10","17","0","0","0","0","0","上市紡織纖維","成衣銷售／零售","成衣,成衣製造,成衣銷售/零售",裕隆集團旗下，台灣知名男性西服供應商
65	,"1418.TW","東華","18.5","0","15","2.95","9","5.68","0","-1.55","3","0","0","0","1","0","0","0","0","0.02","-0.04","90","206","-36","0","0","0","0.18","0","上市紡織纖維","亞克力棉","化學纖維,亞克力棉",台灣老牌的亞克力棉製造商
66	,"1419.TW","新紡","67.1","0.45","90","1.48","200","30","0.08","-0.06","6","197","3","0","1","0","0","0","0","0","-0.23","-5","2","30","0","-0","0","0.2","0","上市紡織纖維","織布業","成衣,成衣銷售/零售,織布業,資產股,地產,物業投資發展",新光集團旗下，平織布生產商，士林三寶之一
67	,"1423.TW","利華","39.65","-4","307","2.12","45","9.96","0.8","-0.38","7","0","0","0","1","0","0","0","0","0.28","-0.03","47","18","4","0","-0","0","0.15","0","上市紡織纖維","毛紡","毛紡,紡紗,資產股",台灣第一大的專業毛條生產商
68	,"1432.TW","大魯閣","17.6","1.15","1059","1.16","16","10.8","0.08","-2.38","1","0","0","0","1","0","0","0","0","-0.01","-0.17","-1","-39","-40","0","-0","0","0.09","0","上市運動休閒","大型遊樂場","流通業,百貨業,休閒娛樂,大型遊樂場",經營型娛樂購物中心事業
69	,"1434.TW","福懋","16.95","0.59","2827","1.49","284","168.47","0.32","0.08","8","48","17","0","1","0","0","0","0","0.1","-0.45","-3","6","-6","0","0.3","0.3","0.16","0","上市紡織纖維","尼龍製品","加油站,其他公用事業,尼龍製品,尼龍塔夫塔布,工業紡織品",台塑集團旗下，台灣知名輪胎簾布製造商
70	,"1436.TW","華友聯","47.5","1.6","754","2.83","91","19.42","0.24","-1.15","4","0","0","1","0","0","0","0","0","-0.46","1.51","106","45","-48","0","0.1","0.1","0","0","上市建材營造","營建","營建,地產",主打首購族及換屋族市場的建商
71	,"1437.TW","勤益控","29.55","0","108","0.34","60","20.19","0.02","0.03","6","27","22","0","0","0","0","0","0","0","-0.38","8","-1","-9","0","-0","0","0","0","上市其他","物業投資發展","毛紡,紡紗,控股公司,資產股,地產,物業投資發展",投資控股公司，從事地產、紡織貿易及投資事業
72	,"1438.TW","三地開發","22.25","-1.33","110","2.2","25","11.12","0.03","-0.01","6","6","100","1","0","0","0","0","0","-0.12","1.12","-91","0","161966","0","-0","0","0","0","上市建材營造","營建","營建,地產",開發以台南及高雄地區為主力的建商
73	,"1439.TW","雋揚","25.3","1.2","1","3.97","23","9.2","0","-0.17","1","175","1","0","0","0","0","0","0","0.1","-0.04","111","-38","-42","0","0","0","0","0.1","上市建材營造","營建","資產股,營建,地產,物業投資發展",國揚集團旗下，著重開發危老及都更計畫
74	,"1440.TW","南紡","13.3","-1.48","4812","2.64","224","165.68","0.44","-0.18","7","0","0","0","0","0","0","0","0","0.07","-0.28","9","-13","-18","0","0","0","0","0","上市紡織纖維","聚酯棉","化學纖維,聚酯絲,聚酯棉,聚酯粒,化纖原料,棉紡業,紡紗,資產股",台灣最大的聚酯棉與紡紗廠，並經營夢時代購物中心
75	,"1441.TW","大東","9.25","1.31","12","0.11","6","7.17","0","-0.57","3","0","0","0","0","0","0","0","0","0","-0.17","-29","-1","-18","0","0","0","0","0.1","上市紡織纖維","棉紡業","織布業,棉紡業,紡紗,資產股",台灣主要棉紡生產企業
76	,"1442.TW","名軒","28","0.36","523","2.18","102","36.62","0.07","0.12","1","31","3","0","0","0","0","0","0","-0.18","1.92","168","-19","-70","0","-0","0","0","0","上市建材營造","營建","營建,地產",麗寶集團旗下成員
77	,"1443.TW","立益物流","27.9","0.72","15","1.97","37","13.53","0","0.34","8","14","57","0","1","0","0","0","0","0.06","-0.09","-2","-2","-8","0","0","0","0.34","0","上市其他","倉儲服務","流通業,貿易,倉儲服務,運輸事業,物流業",從事物流倉儲服務及經營房地產
78	,"1444.TW","力麗","7.04","-0.42","1597","1.85","70","99.56","0.06","-0.04","8","0","0","0","1","0","0","0","0","0.28","-0.54","72","81","24","0","-0","0","0.37","0","上市紡織纖維","聚酯加工絲","化學纖維,聚酯加工絲,聚酯粒",台灣聚酯加工絲龍頭廠
