符合條件商品
資料日期：2026年  6月 15日
策略,	.常用
"序號","代碼","商品","成交","漲幅%","總量","收盤價(06/15)","區間漲幅%","振幅","市值(億)","股本(億)","成交值(億)","推估獲利","蘭質","LPE","蘭值","有CB","W55","55高","55低","集保","評比值","大戶增比","人數降比","月增","年增","累增","投三","外三","TOTAL","55漲%","21跌%","產業","細產業","所有細產業",產業地位
47	,"1323.TW","永裕","19.65","-1.01","47","19.85","-1.01","2.27","18","9.13","0.01","0.14","12","25","48","0","0","0","0","0","0","0.03","1.19","-3","4","2","0","0","0","0","0.08","上市塑膠","塑膠加工","塑膠加工,塑化製品",台灣知名的塑膠瓶及軟管製造商
48	,"1324.TW","地球","10.55","0","42","10.55","0","1.42","8","7.51","0.01","-0.45","5","0","0","0","0","0","0","0","0","0","-0.14","9","4","-10","0","0","0","0","0","上市塑膠","膠帶","膠帶,化學工業",台灣主要PVC膠帶供應商
49	,"1325.TW","恆大","26.05","-1.51","235","26.45","-1.51","0.95","23","8.53","0.06","-0.32","2","0","0","0","0","0","0","0","0","-0.29","-0.11","-18","-31","-27","0","0","0","0","0.13","上市塑膠","不織布","不織布,工業紡織品",台灣最大的紡結不織布生產廠
50	,"1326.TW","台化","52.1","0.97","41064","51.6","0.97","4.92","3024","586.12","14.49","0.21","14","32","44","0","1","0","0","0","0","-0.58","1.95","-15","15","11","-0","7.2","7.2","0.37","0","上市塑膠","PTA","二甲基甲醯胺(DMF),酚,化學工業,其他化工產品,芳香烴,SM,ABS,PS,PP,塑化原料,化學纖維,尼龍粒,尼龍加工絲,尼龍絲,化纖原料,PTA,粘膠",台灣最大的PTA廠
51	,"1336.TW","台翰","15.05","-3.53","500","15.6","-3.53","9.56","12","7.76","0.26","-0.19","4","0","0","0","1","1","0","0","0","0.02","1.65","4","0","-8","0","-0","0","0.26","0","上櫃電子零組件","塑膠射出","電子零件元件,塑膠射出",宣德轉投資之消費電子產品外殼製造商
52	,"1337.TW","再生-KY","4.93","-1.99","657","5.03","-1.99","2.75","14","26.9","0.03","-0.43","6","0","0","0","0","0","0","0","0","0.02","-0.11","8","-10","-18","0","-0","0","0","0","上市塑膠","塑膠加工","塑膠加工,塑化原料,塑化製品,EVA",大陸第一大EVA發泡材商
53	,"1338.TW","廣華-KY","17.2","0.88","134","17.05","0.88","3.29","14","8.38","0.05","-0.42","3","0","0","1","1","0","0","0","0","0.19","0.06","-7","6","-1","0","0","0","0.28","0","上市汽車","汽車內裝","汽車內裝",汽車OEM塑膠內飾件大廠，供應以大陸市場為主
54	,"1339.TW","昭輝","44.7","-0.89","194","45.1","-0.89","2.01","33","7.41","0.08","-0.2","10","0","0","0","1","0","0","0","0","0","-0.19","4","15","-13","0","0","0","0.2","0","上市汽車","汽車保險桿","塑膠加工,塑化製品,汽車保險桿,汽機車零組件",台灣第二大汽車AM塑膠件製造商
55	,"1340.TW","勝悅-KY","5.75","-0.35","124","5.77","-0.35","2.66","9","15.29","0.01","-0.36","9","0","0","0","0","0","0","0","0","-0.49","-0.1","29","-71","-79","0","0","0","0","0","上市塑膠","鞋材","地產,物業投資發展,旅宿／餐飲,飯店",專注旅館及第三方物流承租收入事業
56	,"1341.TW","富林-KY","62.3","-1.11","23","63","-1.11","1.45","33","5.29","0","1.62","9","10","90","0","1","0","0","0","0","0","-0.16","-25","15","5","0","0","0","0.1","0","上市塑膠","塑膠皮布","塑膠皮布,塑化製品",越南第一大PVC人造皮革生產商
